x,x_name,overlap_days,dir,k*,d(k*),r0_ret,k20,d(k20),half_stable,raw_d@k*,raw_k*
sse/880773,sse/880773 最近闪跌,964,X_leads_mic,45,-0.19026101171197868,0.08290316100636178,3,0.10839504132280642,True,0.06342348159810945,60
sse/880784,sse/880784 昨日较弱,1643,X_leads_mic,50,-0.1578859118340338,0.19135114295837943,3,0.0884462542056621,False,-0.1069665810324581,60
sse/880752,sse/880752 昨曾跌停,1167,X_leads_mic,57,-0.13201643430713916,0.12120980485336247,8,-0.03676758923401903,True,0.020953918277559172,60
sse/880866,sse/880866 近期新低,2341,X_leads_mic,50,-0.13126123144069898,0.1550207649934084,19,-0.06649965396744817,True,-0.14024365585509993,60
sse/880772,sse/880772 最近闪拉,1037,mic_leads_X,44,0.12939157371152696,0.12063445922433788,14,0.11387931317592778,True,0.07013012437548086,60
sse/880872,sse/880872 近期复牌,2288,mic_leads_X,16,0.12715489816773018,0.0934952931616035,16,0.12715489816773018,True,-0.0064514863024563995,60
sse/880723,sse/880723 发可转债,1220,X_leads_mic,2,-0.12308627855711268,0.606765821906222,2,-0.12308627855711268,True,0.010160276830463666,60
sse/880641,sse/880641 历史新低,567,mic_leads_X,21,0.12117699997446318,0.6952615403494166,2,-0.11911460824377168,True,0.02158637286417109,60
sse/880676,sse/880676 活跃ETF,730,X_leads_mic,2,-0.11864359866773658,0.5419886074587363,2,-0.11864359866773658,True,-0.0027966403221102443,60
sse/880677,sse/880677 活跃可转债,730,mic_leads_X,42,0.11542712563026203,0.5846808147033566,3,-0.08736114435031926,True,0.38190857779241116,60
sse/880854,sse/880854 预高送转,2193,mic_leads_X,45,0.11528964646174504,0.24588770519805367,1,-0.037739294391814567,True,-0.04549704986262071,60
sse/880801,sse/880801 基金重仓,4749,X_leads_mic,1,-0.11477009522298287,0.6728784741202142,1,-0.11477009522298287,True,-0.00013371879185375413,60
sse/880640,sse/880640 历史新高,905,mic_leads_X,29,0.114012917387013,0.2545726406835116,19,-0.06497519498179283,True,0.09601659599271062,60
sse/880811,sse/880811 陆股通减,1537,mic_leads_X,9,0.10807913796034649,0.6229454538768232,9,0.10807913796034649,True,-0.049173661494382626,60
sse/880810,sse/880810 陆股通增,1537,X_leads_mic,1,-0.10798497352095043,0.6218758794164737,1,-0.10798497352095043,True,-0.004912528065832894,60
sse/880886,sse/880886 昨日较强,2127,X_leads_mic,45,-0.10509447023250001,0.12499584562101457,7,-0.07898932935555524,False,0.02364081644150587,60
sse/880835,sse/880835 绩优股,4749,X_leads_mic,1,-0.10489646704091724,0.6811269996827328,1,-0.10489646704091724,True,-0.0001943717579382387,60
sse/880619,sse/880619 业绩预增,1043,mic_leads_X,36,0.10329472559316774,0.3755394755872218,7,-0.06426617189637487,True,0.027752017537649554,51
sse/880774,sse/880774 昨日首板,1722,X_leads_mic,24,-0.10284628692112624,-0.00026140789279998543,14,-0.06057987002595815,True,-0.010525158761279269,60
sse/880620,sse/880620 券商金股,1039,X_leads_mic,34,-0.10079218972200245,0.38702494390823167,2,-0.08956331330888659,True,0.03185420656420268,60
sse/880853,sse/880853 中字头,2736,X_leads_mic,43,-0.09879437425353962,0.6114973158744434,6,-0.07906238674913058,True,0.03168176099551223,60
sse/880751,sse/880751 昨日跌停,1153,mic_leads_X,35,0.09824608364011445,0.07223391437423544,16,-0.09171957149382136,True,0.0719455436717908,39
sse/880471,sse/880471 银行,4749,X_leads_mic,1,-0.09822287883691538,0.4211233816603534,1,-0.09822287883691538,False,-0.00048552662599032903,60
sse/880473,sse/880473 保险,4737,X_leads_mic,1,-0.09800163274402734,0.47080420509030235,1,-0.09800163274402734,True,-0.0010322874092615342,60
sse/880603,sse/880603 新进指标股,1085,X_leads_mic,22,-0.09780673563896691,0.4550973030733092,2,-0.07975534875958917,True,0.16482481225484436,60
sse/880770,sse/880770 昨日上榜,1520,mic_leads_X,1,0.09705428212732134,0.5239350863581935,1,0.09705428212732134,True,0.002071076572248476,60
