a,b,k,d,ad,overlap_days,a_name,b_name
sse/880864,sse/880752,118,1.4655518743342684,1.4655518743342684,1171,sse/880864 昨日振荡,sse/880752 昨曾跌停
sse/880866,sse/880825,104,1.2255134801017782,1.2255134801017782,922,sse/880866 近期新低,sse/880825 预计转亏
sse/880772,sse/880770,100,-1.2206074642505196,1.2206074642505196,836,sse/880772 最近闪拉,sse/880770 昨日上榜
sse/880885,sse/880641,70,-1.1209348511405017,1.1209348511405017,670,sse/880885 近端次新,sse/880641 历史新低
sse/880886,sse/880082,71,-1.0299739308132125,1.0299739308132125,1058,sse/880886 昨日较强,sse/880082 板块趋势
sse/880885,sse/880752,118,1.0263985383354681,1.0263985383354681,1171,sse/880885 近端次新,sse/880752 昨曾跌停
sse/880884,sse/880825,97,-1.01442636796897,1.01442636796897,940,sse/880884 最近异动,sse/880825 预计转亏
sse/880418,sse/880677,118,0.9879504681081754,0.9879504681081754,731,sse/880418 传媒娱乐,sse/880677 活跃可转债
sse/880482,sse/880677,102,0.9712972780899705,0.9712972780899705,731,sse/880482 房地产,sse/880677 活跃可转债
sse/880842,sse/880677,119,0.9454051249122808,0.9454051249122808,575,sse/880842 业绩预升,sse/880677 活跃可转债
sse/880459,sse/880756,116,0.9297961103782271,0.9297961103782271,1146,sse/880459 运输服务,sse/880756 机构吸筹
sse/880360,sse/880773,119,0.8893421570508124,0.8893421570508124,983,sse/880360 农林牧渔,sse/880773 最近闪跌
sse/880836,sse/880778,116,0.8846768115131978,0.8846768115131978,1210,sse/880836 配股股,sse/880778 次新预增
sse/880836,sse/880782,118,0.847989273608154,0.847989273608154,1364,sse/880836 配股股,sse/880782 保险新进
sse/880773,sse/880898,81,0.8442841166106182,0.8442841166106182,523,sse/880773 最近闪跌,sse/880898 近已解禁
sse/880784,sse/880825,80,0.8379022916928053,0.8379022916928053,937,sse/880784 昨日较弱,sse/880825 预计转亏
sse/880947,sse/880772,98,0.83648676397073,0.83648676397073,1038,sse/880947 债转股AMC,sse/880772 最近闪拉
sse/880854,sse/880756,112,-0.8318993602799666,0.8318993602799666,748,sse/880854 预高送转,sse/880756 机构吸筹
sse/880836,sse/880620,88,0.8263930293976514,0.8263930293976514,729,sse/880836 配股股,sse/880620 券商金股
sse/880772,sse/880735,59,-0.8160355702493749,0.8160355702493749,521,sse/880772 最近闪拉,sse/880735 专精特新
sse/880772,sse/880790,84,-0.8146731294851293,0.8146731294851293,963,sse/880772 最近闪拉,sse/880790 高负债率
sse/880837,sse/880752,118,0.7576443383893028,0.7576443383893028,1171,sse/880837 活跃股,sse/880752 昨曾跌停
sse/880456,sse/880772,72,0.7542151653311338,0.7542151653311338,1038,sse/880456 环境保护,sse/880772 最近闪拉
