a,b,k*,d,overlap_days,a_name,b_name
sse/880772,sse/880735,59,-0.8160355702493749,521,sse/880772 最近闪拉,sse/880735 专精特新
sse/880772,sse/880898,43,-0.712369733407726,573,sse/880772 最近闪拉,sse/880898 近已解禁
sse/880874,sse/880756,60,-0.6456628103410229,1146,sse/880874 昨曾涨停,sse/880756 机构吸筹
sse/880863,sse/880773,60,0.5889647439404665,983,sse/880863 昨日涨停,sse/880773 最近闪跌
sse/880772,sse/880723,58,-0.5811271646597,536,sse/880772 最近闪拉,sse/880723 发可转债
sse/880772,sse/880769,40,-0.49592825648513866,750,sse/880772 最近闪拉,sse/880769 股权集中
sse/880421,sse/880772,43,0.48638667923243717,1038,sse/880421 广告包装,sse/880772 最近闪拉
sse/880785,sse/880603,40,0.47661684567460505,1086,sse/880785 最近多板,sse/880603 新进指标股
sse/880785,sse/880640,18,0.45566418453506685,919,sse/880785 最近多板,sse/880640 历史新高
sse/880773,sse/880774,59,-0.44675755269942763,983,sse/880773 最近闪跌,sse/880774 昨日首板
sse/880810,sse/880751,58,-0.42690591799056554,718,sse/880810 陆股通增,sse/880751 昨日跌停
sse/880874,sse/880735,56,-0.3884373391273463,1206,sse/880874 昨曾涨停,sse/880735 专精特新
sse/880812,sse/880751,19,0.38708538816088667,1163,sse/880812 昨日连板,sse/880751 昨日跌停
sse/880874,sse/880603,50,-0.36322012315473795,1086,sse/880874 昨曾涨停,sse/880603 新进指标股
sse/880812,sse/880752,37,0.3574660304939231,1171,sse/880812 昨日连板,sse/880752 昨曾跌停
sse/880782,sse/880751,57,-0.3522944788611227,1163,sse/880782 保险新进,sse/880751 昨日跌停
sse/880874,sse/880792,53,-0.34273455309996037,1589,sse/880874 昨曾涨停,sse/880792 基金增仓
sse/880431,sse/880677,49,0.33122423218514474,731,sse/880431 船舶,sse/880677 活跃可转债
sse/880773,sse/880786,41,-0.3245216289152693,910,sse/880773 最近闪跌,sse/880786 海外业务
sse/880890,sse/880751,26,-0.32443699201067216,995,sse/880890 配股预案,sse/880751 昨日跌停
sse/880874,sse/880970,52,-0.3136097287472247,1600,sse/880874 昨曾涨停,sse/880970 分拆上市预期
sse/880785,sse/880756,46,0.3060631144923967,1146,sse/880785 最近多板,sse/880756 机构吸筹
sse/880473,sse/880812,58,-0.30238143114001126,1974,sse/880473 保险,sse/880812 昨日连板
