leader,leader_name,follower,follower_name,k*,|d|,d_orig,overlap_days
sse/880735,sse/880735 专精特新,sse/880772,sse/880772 最近闪拉,59,0.8160355702493749,-0.8160355702493749,521
sse/880898,sse/880898 近已解禁,sse/880772,sse/880772 最近闪拉,43,0.712369733407726,-0.712369733407726,573
sse/880756,sse/880756 机构吸筹,sse/880874,sse/880874 昨曾涨停,60,0.6456628103410229,-0.6456628103410229,1146
sse/880863,sse/880863 昨日涨停,sse/880773,sse/880773 最近闪跌,60,0.5889647439404665,0.5889647439404665,983
sse/880723,sse/880723 发可转债,sse/880772,sse/880772 最近闪拉,58,0.5811271646597,-0.5811271646597,536
sse/880769,sse/880769 股权集中,sse/880772,sse/880772 最近闪拉,40,0.49592825648513866,-0.49592825648513866,750
sse/880421,sse/880421 广告包装,sse/880772,sse/880772 最近闪拉,43,0.48638667923243717,0.48638667923243717,1038
sse/880785,sse/880785 最近多板,sse/880603,sse/880603 新进指标股,40,0.47661684567460505,0.47661684567460505,1086
sse/880785,sse/880785 最近多板,sse/880640,sse/880640 历史新高,18,0.45566418453506685,0.45566418453506685,919
sse/880774,sse/880774 昨日首板,sse/880773,sse/880773 最近闪跌,59,0.44675755269942763,-0.44675755269942763,983
sse/880751,sse/880751 昨日跌停,sse/880810,sse/880810 陆股通增,58,0.42690591799056554,-0.42690591799056554,718
sse/880735,sse/880735 专精特新,sse/880874,sse/880874 昨曾涨停,56,0.3884373391273463,-0.3884373391273463,1206
sse/880812,sse/880812 昨日连板,sse/880751,sse/880751 昨日跌停,19,0.38708538816088667,0.38708538816088667,1163
sse/880603,sse/880603 新进指标股,sse/880874,sse/880874 昨曾涨停,50,0.36322012315473795,-0.36322012315473795,1086
sse/880812,sse/880812 昨日连板,sse/880752,sse/880752 昨曾跌停,37,0.3574660304939231,0.3574660304939231,1171
sse/880751,sse/880751 昨日跌停,sse/880782,sse/880782 保险新进,57,0.3522944788611227,-0.3522944788611227,1163
sse/880792,sse/880792 基金增仓,sse/880874,sse/880874 昨曾涨停,53,0.34273455309996037,-0.34273455309996037,1589
sse/880431,sse/880431 船舶,sse/880677,sse/880677 活跃可转债,49,0.33122423218514474,0.33122423218514474,731
sse/880786,sse/880786 海外业务,sse/880773,sse/880773 最近闪跌,41,0.3245216289152693,-0.3245216289152693,910
sse/880751,sse/880751 昨日跌停,sse/880890,sse/880890 配股预案,26,0.32443699201067216,-0.32443699201067216,995
sse/880970,sse/880970 分拆上市预期,sse/880874,sse/880874 昨曾涨停,52,0.3136097287472247,-0.3136097287472247,1600
sse/880785,sse/880785 最近多板,sse/880756,sse/880756 机构吸筹,46,0.3060631144923967,0.3060631144923967,1146
sse/880812,sse/880812 昨日连板,sse/880473,sse/880473 保险,58,0.30238143114001126,-0.30238143114001126,1974
sse/880751,sse/880751 昨日跌停,sse/880752,sse/880752 昨曾跌停,50,0.2948974449794949,0.2948974449794949,1160
sse/880493,sse/880493 软件服务,sse/880874,sse/880874 昨曾涨停,60,0.2841059440924697,0.2841059440924697,2289
sse/880898,sse/880898 近已解禁,sse/880874,sse/880874 昨曾涨停,40,0.2657158549829329,-0.2657158549829329,1258
sse/880400,sse/880400 医药,sse/880603,sse/880603 新进指标股,57,0.264642217780395,0.264642217780395,1086
sse/880887,sse/880887 次新超跌,sse/880603,sse/880603 新进指标股,46,0.263863029163353,0.263863029163353,1086
sse/880812,sse/880812 昨日连板,sse/880790,sse/880790 高负债率,56,0.2617890264039211,0.2617890264039211,1648
sse/880752,sse/880752 昨曾跌停,sse/880782,sse/880782 保险新进,58,0.2611683794110538,-0.2611683794110538,1171
sse/880751,sse/880751 昨日跌停,sse/880843,sse/880843 业绩预降,56,0.25922745017629895,-0.25922745017629895,838
sse/880752,sse/880752 昨曾跌停,sse/880082,sse/880082 板块趋势,53,0.2571553922878048,0.2571553922878048,1055
sse/880489,sse/880489 IT设备,sse/880874,sse/880874 昨曾涨停,51,0.2571540222739443,0.2571540222739443,2289
sse/880970,sse/880970 分拆上市预期,sse/880773,sse/880773 最近闪跌,38,0.25147973016610775,-0.25147973016610775,864
sse/880751,sse/880751 昨日跌停,sse/880778,sse/880778 次新预增,33,0.2466774817261831,-0.2466774817261831,978
sse/880817,sse/880817 商誉减值,sse/880874,sse/880874 昨曾涨停,60,0.24438123975599368,-0.24438123975599368,1820
sse/880770,sse/880770 昨日上榜,sse/880874,sse/880874 昨曾涨停,48,0.2431721194193292,-0.2431721194193292,1521
sse/880779,sse/880779 高融资盘,sse/880874,sse/880874 昨曾涨停,52,0.23938980552424943,-0.23938980552424943,1682
sse/880751,sse/880751 昨日跌停,sse/880380,sse/880380 酿酒,26,0.23742534214815414,-0.23742534214815414,1163
sse/880472,sse/880472 证券,sse/880825,sse/880825 预计转亏,49,0.23684937435903441,0.23684937435903441,940
sse/880769,sse/880769 股权集中,sse/880874,sse/880874 昨曾涨停,51,0.23596426193849296,-0.23596426193849296,1435
sse/880476,sse/880476 建筑,sse/880603,sse/880603 新进指标股,43,0.2352310089741933,0.2352310089741933,1086
sse/880756,sse/880756 机构吸筹,sse/880782,sse/880782 保险新进,60,0.2351156898178478,-0.2351156898178478,1146
sse/880464,sse/880464 仓储物流,sse/880756,sse/880756 机构吸筹,52,0.23178751360338554,0.23178751360338554,1146
sse/880882,sse/880882 久不分红,sse/880603,sse/880603 新进指标股,55,0.230495387749464,0.230495387749464,1086
sse/880881,sse/880881 近期弱势,sse/880603,sse/880603 新进指标股,46,0.2292648105234743,0.2292648105234743,1068
sse/880868,sse/880868 高贝塔值,sse/880874,sse/880874 昨曾涨停,52,0.22911099774552918,0.22911099774552918,2289
sse/880491,sse/880491 半导体,sse/880874,sse/880874 昨曾涨停,52,0.2291099271306285,0.2291099271306285,2289
sse/880810,sse/880810 陆股通增,sse/880455,sse/880455 供气供热,50,0.22751342070887165,-0.22751342070887165,1540
sse/880752,sse/880752 昨曾跌停,sse/880863,sse/880863 昨日涨停,57,0.22519992828330107,-0.22519992828330107,1171
sse/880640,sse/880640 历史新高,sse/880874,sse/880874 昨曾涨停,18,0.2235384477603261,-0.2235384477603261,919
sse/880751,sse/880751 昨日跌停,sse/880811,sse/880811 陆股通减,52,0.22006120876725227,-0.22006120876725227,718
sse/880492,sse/880492 元器件,sse/880874,sse/880874 昨曾涨停,50,0.21376987185084098,0.21376987185084098,2289
sse/880811,sse/880811 陆股通减,sse/880756,sse/880756 机构吸筹,58,0.21218505298566898,0.21218505298566898,697
sse/880620,sse/880620 券商金股,sse/880874,sse/880874 昨曾涨停,50,0.2121522517436521,-0.2121522517436521,1042
sse/880802,sse/880802 QFII重仓,sse/880874,sse/880874 昨曾涨停,51,0.2117260719804296,0.2117260719804296,2289
sse/880793,sse/880793 基金减仓,sse/880874,sse/880874 昨曾涨停,51,0.21089643381656353,-0.21089643381656353,1589
sse/880773,sse/880773 最近闪跌,sse/880455,sse/880455 供气供热,46,0.2100672717718376,-0.2100672717718376,983
sse/880785,sse/880785 最近多板,sse/880735,sse/880735 专精特新,18,0.20978799267798134,0.20978799267798134,1206
sse/880473,sse/880473 保险,sse/880874,sse/880874 昨曾涨停,53,0.20807379451918762,0.20807379451918762,2289
sse/880810,sse/880810 陆股通增,sse/880881,sse/880881 近期弱势,55,0.20461470175304608,-0.20461470175304608,1540
sse/880641,sse/880641 历史新低,sse/880424,sse/880424 旅游,48,0.20297305806452204,-0.20297305806452204,670
sse/880431,sse/880431 船舶,sse/880874,sse/880874 昨曾涨停,46,0.20247708647304855,0.20247708647304855,2289
sse/880785,sse/880785 最近多板,sse/880898,sse/880898 近已解禁,18,0.20190308602955342,0.20190308602955342,1258
sse/880751,sse/880751 昨日跌停,sse/880399,sse/880399 家居用品,53,0.2016178178663015,-0.2016178178663015,1163
sse/880620,sse/880620 券商金股,sse/880886,sse/880886 昨日较强,53,0.20090256488320943,-0.20090256488320943,1042
sse/880853,sse/880853 中字头,sse/880874,sse/880874 昨曾涨停,52,0.20010533286622026,0.20010533286622026,2289
sse/880773,sse/880773 最近闪跌,sse/880844,sse/880844 预计扭亏,52,0.19908566000130623,-0.19908566000130623,849
sse/880539,sse/880539 股权激励,sse/880874,sse/880874 昨曾涨停,52,0.19872817069613208,0.19872817069613208,2289
sse/880446,sse/880446 电气设备,sse/880874,sse/880874 昨曾涨停,54,0.19612413430997652,0.19612413430997652,2289
szse/399102,szse/399102 创业板综,sse/880874,sse/880874 昨曾涨停,52,0.19363956425067638,0.19363956425067638,2289
sse/880751,sse/880751 昨日跌停,sse/880318,sse/880318 钢铁,29,0.19238813741513416,-0.19238813741513416,1163
sse/880778,sse/880778 次新预增,sse/880640,sse/880640 历史新高,60,0.18743157254889695,0.18743157254889695,786
sse/880785,sse/880785 最近多板,sse/880844,sse/880844 预计扭亏,18,0.18719696586335638,-0.18719696586335638,1339
sse/880751,sse/880751 昨日跌停,sse/880330,sse/880330 化纤,55,0.1863919132145628,-0.1863919132145628,1163
sse/880603,sse/880603 新进指标股,sse/880751,sse/880751 昨日跌停,18,0.18584205077474802,-0.18584205077474802,1075
sse/880857,sse/880857 证金汇金持股,sse/880603,sse/880603 新进指标股,45,0.1844097114361435,0.1844097114361435,1086
sse/880440,sse/880440 工业机械,sse/880874,sse/880874 昨曾涨停,51,0.1835689650073576,0.1835689650073576,2289
sse/880816,sse/880816 密集调研,sse/880874,sse/880874 昨曾涨停,43,0.181438887584944,-0.181438887584944,1819
sse/880849,sse/880849 回购计划,sse/880874,sse/880874 昨曾涨停,51,0.17932106097838818,0.17932106097838818,2289
sse/880865,sse/880865 近期新高,sse/880874,sse/880874 昨曾涨停,47,0.17772223163989026,0.17772223163989026,2289
sse/880751,sse/880751 昨日跌停,sse/880835,sse/880835 绩优股,56,0.17703508015888547,-0.17703508015888547,1163
sse/880821,sse/880821 大盘股,sse/880874,sse/880874 昨曾涨停,50,0.17680029333669753,0.17680029333669753,2289
sse/880785,sse/880785 最近多板,sse/880619,sse/880619 业绩预增,18,0.17679249934047375,0.17679249934047375,1044
sse/880805,sse/880805 保险重仓,sse/880874,sse/880874 昨曾涨停,59,0.17622520139348652,0.17622520139348652,2289
sse/880406,sse/880406 商业连锁,sse/880620,sse/880620 券商金股,42,0.17605931720934276,0.17605931720934276,1042
sse/880464,sse/880464 仓储物流,sse/880622,sse/880622 破增发价,50,0.17553162370751813,0.17553162370751813,1037
sse/880532,sse/880532 整体上市,sse/880874,sse/880874 昨曾涨停,50,0.17422339764870237,0.17422339764870237,2289
sse/880878,sse/880878 百元股,sse/880874,sse/880874 昨曾涨停,51,0.17362814507532687,-0.17362814507532687,2275
sse/880847,sse/880847 行业龙头,sse/880874,sse/880874 昨曾涨停,51,0.17268971369796,0.17268971369796,2289
sse/880641,sse/880641 历史新低,sse/880406,sse/880406 商业连锁,39,0.17188420142755628,-0.17188420142755628,670
sse/880474,sse/880474 多元金融,sse/880770,sse/880770 昨日上榜,50,0.1712321334286973,0.1712321334286973,1521
sse/880490,sse/880490 通信设备,sse/880874,sse/880874 昨曾涨停,49,0.17112887690163514,0.17112887690163514,2289
sse/880431,sse/880431 船舶,sse/880752,sse/880752 昨曾跌停,55,0.17055766864950744,0.17055766864950744,1171
sse/880641,sse/880641 历史新低,sse/880400,sse/880400 医药,38,0.16905894875991156,-0.16905894875991156,670
sse/880827,sse/880827 高市净率,sse/880874,sse/880874 昨曾涨停,49,0.1670539135563173,0.1670539135563173,2289
sse/880857,sse/880857 证金汇金持股,sse/880874,sse/880874 昨曾涨停,51,0.16677778922153874,0.16677778922153874,2289
sse/880801,sse/880801 基金重仓,sse/880874,sse/880874 昨曾涨停,51,0.16641591160773248,0.16641591160773248,2289
sse/880861,sse/880861 连续亏损,sse/880772,sse/880772 最近闪拉,38,0.16634493169787773,0.16634493169787773,1038
sse/880476,sse/880476 建筑,sse/880751,sse/880751 昨日跌停,49,0.16503243408033236,0.16503243408033236,1163
sse/880465,sse/880465 交通设施,sse/880751,sse/880751 昨日跌停,41,0.16424263517962845,0.16424263517962845,1163
sse/880400,sse/880400 医药,sse/880622,sse/880622 破增发价,50,0.16374245973683005,0.16374245973683005,1037
sse/880473,sse/880473 保险,sse/880769,sse/880769 股权集中,58,0.16325756720444817,0.16325756720444817,1435
sse/880786,sse/880786 海外业务,sse/880874,sse/880874 昨曾涨停,35,0.16255506308867984,-0.16255506308867984,1648
sse/880803,sse/880803 券商重仓,sse/880874,sse/880874 昨曾涨停,50,0.16072925905336416,0.16072925905336416,2289
sse/880850,sse/880850 定增预案,sse/880874,sse/880874 昨曾涨停,47,0.160613264302164,0.160613264302164,2289
sse/880400,sse/880400 医药,sse/880619,sse/880619 业绩预增,46,0.16055226188124605,0.16055226188124605,1044
sse/880751,sse/880751 昨日跌停,sse/880360,sse/880360 农林牧渔,31,0.16020737152959325,-0.16020737152959325,1163
sse/880887,sse/880887 次新超跌,sse/880770,sse/880770 昨日上榜,43,0.15971221716338452,0.15971221716338452,1521
sse/880785,sse/880785 最近多板,sse/880490,sse/880490 通信设备,18,0.15885795350987442,-0.15885795350987442,1659
sse/880430,sse/880430 航空,sse/880874,sse/880874 昨曾涨停,52,0.1586135328759671,0.1586135328759671,2289
sse/880811,sse/880811 陆股通减,sse/880881,sse/880881 近期弱势,55,0.15850406630503333,-0.15850406630503333,1540
szse/399300,szse/399300 沪深300,sse/880874,sse/880874 昨曾涨停,43,0.15837420823807655,0.15837420823807655,2289
sse/880804,sse/880804 信托重仓,sse/880874,sse/880874 昨曾涨停,57,0.15822522242746712,0.15822522242746712,2289
sse/880641,sse/880641 历史新低,sse/880422,sse/880422 文教休闲,38,0.15714862563294618,-0.15714862563294618,670
szse/399001,szse/399001 深证成指,sse/880874,sse/880874 昨曾涨停,48,0.15666343930720883,0.15666343930720883,2289
sse/880781,sse/880781 QFII新进,sse/880751,sse/880751 昨日跌停,39,0.156402097617874,0.156402097617874,1163
sse/880387,sse/880387 家用电器,sse/880772,sse/880772 最近闪拉,38,0.1562457292236667,0.1562457292236667,1038
sse/880812,sse/880812 昨日连板,sse/880367,sse/880367 纺织服饰,53,0.15597299595257272,-0.15597299595257272,1974
sse/880883,sse/880883 MSCI成份,sse/880874,sse/880874 昨曾涨停,51,0.15569795287210972,-0.15569795287210972,2208
sse/880619,sse/880619 业绩预增,sse/880874,sse/880874 昨曾涨停,36,0.15538032380681438,-0.15538032380681438,1044
sse/880815,sse/880815 拟减持,sse/880874,sse/880874 昨曾涨停,41,0.1552356777774191,-0.1552356777774191,1834
sse/880422,sse/880422 文教休闲,sse/880640,sse/880640 历史新高,37,0.1540140441031897,0.1540140441031897,919
sse/000001,sse/000001 上证综指,sse/880874,sse/880874 昨曾涨停,41,0.15367928788813562,0.15367928788813562,2289
sse/880837,sse/880837 活跃股,sse/880603,sse/880603 新进指标股,60,0.15298875307087936,0.15298875307087936,1086
sse/880783,sse/880783 社保新进,sse/880874,sse/880874 昨曾涨停,40,0.15281337887281873,-0.15281337887281873,1678
sse/880355,sse/880355 日用化工,sse/880782,sse/880782 保险新进,51,0.15268380157664152,0.15268380157664152,1678
sse/880464,sse/880464 仓储物流,sse/880772,sse/880772 最近闪拉,38,0.1515802154489273,0.1515802154489273,1038
sse/880877,sse/880877 户数减少,sse/880874,sse/880874 昨曾涨停,51,0.15091214057876517,-0.15091214057876517,2289
sse/880812,sse/880812 昨日连板,sse/880702,sse/880702 壳资源,53,0.15055641017536373,0.15055641017536373,1877
sse/880350,sse/880350 造纸,sse/880779,sse/880779 高融资盘,46,0.1504851870399448,0.1504851870399448,1682
sse/880453,sse/880453 公共交通,sse/880811,sse/880811 陆股通减,42,0.15034576539644362,0.15034576539644362,1540
sse/880851,sse/880851 已高送转,sse/880773,sse/880773 最近闪跌,38,0.1502093225534227,0.1502093225534227,983
sse/880400,sse/880400 医药,sse/880779,sse/880779 高融资盘,51,0.1498758888858131,0.1498758888858131,1682
sse/880806,sse/880806 社保重仓,sse/880874,sse/880874 昨曾涨停,51,0.14970410067085652,0.14970410067085652,2289
sse/880785,sse/880785 最近多板,sse/880492,sse/880492 元器件,18,0.14962987430036473,-0.14962987430036473,1659
sse/880421,sse/880421 广告包装,sse/880786,sse/880786 海外业务,60,0.14960101942980109,0.14960101942980109,1648
sse/880543,sse/880543 外资背景,sse/880874,sse/880874 昨曾涨停,48,0.14959881389060076,0.14959881389060076,2289
sse/880842,sse/880842 业绩预升,sse/880874,sse/880874 昨曾涨停,58,0.1490789354661711,0.1490789354661711,2102
sse/880562,sse/880562 高校背景,sse/880874,sse/880874 昨曾涨停,51,0.14852667901430233,0.14852667901430233,2289
sse/880640,sse/880640 历史新高,sse/880751,sse/880751 昨日跌停,18,0.14715250800208432,-0.14715250800208432,911
sse/880752,sse/880752 昨曾跌停,sse/880859,sse/880859 员工持股,48,0.14652983237619574,-0.14652983237619574,1171
sse/880387,sse/880387 家用电器,sse/880874,sse/880874 昨曾涨停,43,0.1464323895945006,0.1464323895945006,2289
sse/880790,sse/880790 高负债率,sse/880864,sse/880864 昨日振荡,44,0.14610560757630964,-0.14610560757630964,1648
sse/880418,sse/880418 传媒娱乐,sse/880884,sse/880884 最近异动,47,0.14569925313058374,0.14569925313058374,2175
sse/880810,sse/880810 陆股通增,sse/880756,sse/880756 机构吸筹,43,0.14439010945835384,0.14439010945835384,697
sse/880752,sse/880752 昨曾跌停,sse/880360,sse/880360 农林牧渔,40,0.14415605914009122,-0.14415605914009122,1171
sse/880752,sse/880752 昨曾跌停,sse/880497,sse/880497 综合类,48,0.14413776275614393,-0.14413776275614393,1171
sse/880330,sse/880330 化纤,sse/880874,sse/880874 昨曾涨停,56,0.14389258909223024,0.14389258909223024,2289
sse/880834,sse/880834 微利股,sse/880874,sse/880874 昨曾涨停,47,0.1436487281615822,0.1436487281615822,2289
sse/880474,sse/880474 多元金融,sse/880619,sse/880619 业绩预增,47,0.14364077275804432,0.14364077275804432,1044
sse/880751,sse/880751 昨日跌停,sse/880390,sse/880390 汽车类,56,0.14352839190660463,-0.14352839190660463,1163
sse/880448,sse/880448 电器仪表,sse/880874,sse/880874 昨曾涨停,51,0.14332514881297487,0.14332514881297487,2289
sse/880453,sse/880453 公共交通,sse/880782,sse/880782 保险新进,58,0.14332034437209099,0.14332034437209099,1678
sse/880807,sse/880807 股东增持,sse/880874,sse/880874 昨曾涨停,48,0.1430496766716326,0.1430496766716326,2289
sse/880538,sse/880538 参股金融,sse/880874,sse/880874 昨曾涨停,43,0.14210772833879048,0.14210772833879048,2289
sse/880708,sse/880708 台资背景,sse/880874,sse/880874 昨曾涨停,48,0.14136919138639054,-0.14136919138639054,1762
sse/880372,sse/880372 食品饮料,sse/880622,sse/880622 破增发价,46,0.14075943575085412,0.14075943575085412,1037
sse/880844,sse/880844 预计扭亏,sse/880751,sse/880751 昨日跌停,18,0.14074100579801474,0.14074100579801474,849
sse/880871,sse/880871 股权分散,sse/880874,sse/880874 昨曾涨停,51,0.14020235313858584,0.14020235313858584,2289
sse/880881,sse/880881 近期弱势,sse/880770,sse/880770 昨日上榜,49,0.1394152443427322,0.1394152443427322,1503
sse/880351,sse/880351 矿物制品,sse/880874,sse/880874 昨曾涨停,38,0.13898421302747885,0.13898421302747885,2289
sse/880355,sse/880355 日用化工,sse/880790,sse/880790 高负债率,50,0.1387191525591282,0.1387191525591282,1648
sse/880431,sse/880431 船舶,sse/880676,sse/880676 活跃ETF,47,0.13829990922959923,0.13829990922959923,731
sse/880423,sse/880423 酒店餐饮,sse/880772,sse/880772 最近闪拉,41,0.1380836203361866,0.1380836203361866,1038
sse/880772,sse/880772 最近闪拉,sse/880844,sse/880844 预计扭亏,46,0.1379835538761791,-0.1379835538761791,899
sse/880318,sse/880318 钢铁,sse/880779,sse/880779 高融资盘,47,0.13723228130788895,0.13723228130788895,1682
sse/880751,sse/880751 昨日跌停,sse/880446,sse/880446 电气设备,57,0.13719263316028005,-0.13719263316028005,1163
sse/880812,sse/880812 昨日连板,sse/880431,sse/880431 船舶,55,0.1365983593533847,-0.1365983593533847,1974
sse/880893,sse/880893 送转超跌,sse/880874,sse/880874 昨曾涨停,48,0.1341478182737878,-0.1341478182737878,1997
sse/880752,sse/880752 昨曾跌停,sse/880786,sse/880786 海外业务,57,0.1327316944029137,-0.1327316944029137,1171
sse/880811,sse/880811 陆股通减,sse/880874,sse/880874 昨曾涨停,60,0.13268365481059802,-0.13268365481059802,1540
sse/880785,sse/880785 最近多板,sse/880620,sse/880620 券商金股,18,0.13216631200302592,0.13216631200302592,1042
sse/880870,sse/880870 两年新股,sse/880874,sse/880874 昨曾涨停,43,0.13183804679240896,0.13183804679240896,2289
sse/880350,sse/880350 造纸,sse/880770,sse/880770 昨日上榜,50,0.13143293337210193,0.13143293337210193,1521
sse/880751,sse/880751 昨日跌停,sse/880877,sse/880877 户数减少,57,0.13139364798994932,-0.13139364798994932,1163
sse/880785,sse/880785 最近多板,sse/880721,sse/880721 北上重仓,18,0.1307779183749248,0.1307779183749248,1241
sse/880860,sse/880860 扣非亏损,sse/880874,sse/880874 昨曾涨停,41,0.13043405263411093,0.13043405263411093,2289
sse/880882,sse/880882 久不分红,sse/880735,sse/880735 专精特新,46,0.13016292750582292,0.13016292750582292,1206
sse/880372,sse/880372 食品饮料,sse/880756,sse/880756 机构吸筹,42,0.12975993742221292,0.12975993742221292,1146
sse/880367,sse/880367 纺织服饰,sse/880782,sse/880782 保险新进,59,0.12902554570743097,0.12902554570743097,1678
sse/880335,sse/880335 化工,sse/880874,sse/880874 昨曾涨停,56,0.12829999514013526,0.12829999514013526,2289
sse/880825,sse/880825 预计转亏,sse/880620,sse/880620 券商金股,43,0.12755559063802646,0.12755559063802646,668
sse/880848,sse/880848 被举牌,sse/880898,sse/880898 近已解禁,45,0.12752986594142912,0.12752986594142912,1258
sse/880464,sse/880464 仓储物流,sse/880081,sse/880081 轮动趋势,42,0.12732097837081138,0.12732097837081138,1058
sse/880785,sse/880785 最近多板,sse/880723,sse/880723 发可转债,15,0.12693073280850997,0.12693073280850997,1221
sse/880853,sse/880853 中字头,sse/880751,sse/880751 昨日跌停,48,0.12680444768927362,0.12680444768927362,1163
sse/880785,sse/880785 最近多板,sse/880770,sse/880770 昨日上榜,18,0.12673784250747044,0.12673784250747044,1521
sse/880751,sse/880751 昨日跌停,sse/880482,sse/880482 房地产,18,0.12661062713713714,-0.12661062713713714,1163
sse/880751,sse/880751 昨日跌停,sse/880493,sse/880493 软件服务,26,0.12590255509009868,-0.12590255509009868,1163
