leader,follower,r_ab(0),r_ab(1),delta_r1_r0,overlap_days,leader_name,follower_name
sse/880812,sse/880751,-0.39210746352427617,-0.33471652929715845,0.05739093422711772,1163,sse/880812 昨日连板,sse/880751 昨日跌停
sse/880863,sse/880751,-0.2397317571364947,-0.2048608976412149,0.03487085949527979,1163,sse/880863 昨日涨停,sse/880751 昨日跌停
sse/880774,sse/880751,-0.234219670595436,-0.20189172320706533,0.032327947388370665,1163,sse/880774 昨日首板,sse/880751 昨日跌停
sse/880812,sse/880752,-0.3047321315309203,-0.277384398951192,0.027347732579728334,1171,sse/880812 昨日连板,sse/880752 昨曾跌停
sse/880785,sse/880640,0.39891989890918944,0.4225697543504983,0.023649855441308876,919,sse/880785 最近多板,sse/880640 历史新高
sse/880774,sse/880773,-0.3753964816939865,-0.3535419544038847,0.02185452729010179,983,sse/880774 昨日首板,sse/880773 最近闪跌
sse/880785,sse/880751,-0.17846392510372985,-0.15977379893723653,0.01869012616649332,1163,sse/880785 最近多板,sse/880751 昨日跌停
sse/880785,sse/880603,0.22623841875411357,0.24479657070397262,0.018558151949859047,1086,sse/880785 最近多板,sse/880603 新进指标股
sse/880898,sse/880772,-0.3037081945716285,-0.29024970892915547,0.01345848564247304,573,sse/880898 近已解禁,sse/880772 最近闪拉
sse/880890,sse/880640,-0.1068613020148388,-0.09430461282592122,0.012556689188917586,752,sse/880890 配股预案,sse/880640 历史新高
sse/880785,sse/880756,0.399701088569379,0.4119914965011995,0.012290407931820457,1146,sse/880785 最近多板,sse/880756 机构吸筹
sse/880751,sse/880890,0.17309725464135212,0.18503660352278314,0.011939348881431028,995,sse/880751 昨日跌停,sse/880890 配股预案
sse/880785,sse/880735,0.26823251003382165,0.28008329236334123,0.011850782329519582,1206,sse/880785 最近多板,sse/880735 专精特新
sse/880785,sse/880844,0.3906609088728697,0.4023002599805262,0.011639351107656515,1339,sse/880785 最近多板,sse/880844 预计扭亏
sse/880421,sse/880772,-0.3586156095878703,-0.34703275387472726,0.011582855713143048,1038,sse/880421 广告包装,sse/880772 最近闪拉
sse/880785,sse/880898,0.5197494128794492,0.5312500475236318,0.011500634644182606,1258,sse/880785 最近多板,sse/880898 近已解禁
sse/880756,sse/880874,-0.0045071805454304295,0.006693837684312835,0.011201018229743264,1146,sse/880756 机构吸筹,sse/880874 昨曾涨停
sse/880735,sse/880772,-0.09219758253263634,-0.08101064609959023,0.011186936433046107,521,sse/880735 专精特新,sse/880772 最近闪拉
sse/880770,sse/880772,-0.14055349717580362,-0.12958841663418214,0.010965080541621486,836,sse/880770 昨日上榜,sse/880772 最近闪拉
sse/880769,sse/880772,-0.29221806518254023,-0.28163414239907325,0.010583922783466981,750,sse/880769 股权集中,sse/880772 最近闪拉
sse/880863,sse/880773,0.29977973953261394,0.30990195948015614,0.0101222199475422,983,sse/880863 昨日涨停,sse/880773 最近闪跌
