a,b,overlap_days,k*,d,h1_k,h1_d,h2_k,h2_d,t1_k,t1_d,t2_k,t2_d,t3_k,t3_d,halves_sign_ok,thirds_sign_n,stable,a_name,b_name
sse/880837,sse/880863,2413,73,0.35880269366173423,73,0.6307554963172293,117,0.30655645476288756,61,-0.14026573497173314,26,0.034832312079248605,117,0.5261957400959284,True,2,False,sse/880837 活跃股,sse/880863 昨日涨停
sse/880837,sse/880812,1972,73,0.3460021596048569,73,0.5763105193330575,118,-0.26352198900101736,73,0.6964628099687433,118,-0.5852882546604384,1,-0.04036280058077429,False,1,False,sse/880837 活跃股,sse/880812 昨日连板
sse/880837,sse/880825,887,76,-0.322832391027838,37,0.22313652261616265,76,-0.46266787231380996,90,-0.2948359552337159,55,0.2369471812775067,76,-0.5331425372632915,False,2,False,sse/880837 活跃股,sse/880825 预计转亏
sse/880837,sse/880752,1167,118,0.49057517918771637,118,0.982514364673211,115,0.03685342973872359,39,-0.233487637353211,92,0.22426112365815953,115,0.03328285965367793,True,2,False,sse/880837 活跃股,sse/880752 昨曾跌停
sse/880573,sse/880772,1037,98,0.3988331194980361,79,-0.14239267644492817,98,0.5580283284825924,79,-0.14219635565031233,98,0.5862997921590254,108,-0.18748129835969268,False,1,False,sse/880573 摘帽,sse/880772 最近闪拉
sse/880854,sse/880825,558,92,0.4129758240304457,92,0.4526315377066896,58,-0.2895825410790379,8,0.27333865813505637,94,-0.4568032538659675,119,0.6359318718317113,False,2,False,sse/880854 预高送转,sse/880825 预计转亏
sse/880858,sse/880772,1037,98,0.7039726625705524,73,0.13779385813565664,98,0.8404260263106413,79,-0.197501860755713,98,0.8600744755334646,72,0.18219732358006557,True,2,False,sse/880858 国开持股,sse/880772 最近闪拉
sse/880863,sse/880864,2413,73,-0.3609507140108635,73,-0.6431157692093611,59,-0.027661581789730025,92,-0.12283520482131244,75,-0.03011401650767073,6,0.03923752418825552,True,2,False,sse/880863 昨日涨停,sse/880864 昨日振荡
sse/880863,sse/880867,2388,73,-0.3367886345504275,73,-0.6361796620976051,117,-0.6020031635383568,119,-0.11113399458904874,117,-0.5913630851743421,117,-0.521709103266488,True,3,False,sse/880863 昨日涨停,sse/880867 昨高换手
sse/880863,sse/880872,2288,73,-0.45332922561019473,73,-0.6479618577269683,95,0.17675843807212002,73,-0.7676141585564643,34,0.13676165703974433,95,0.2366117774437744,False,1,False,sse/880863 昨日涨停,sse/880872 近期复牌
sse/880863,sse/880874,2288,73,-0.3296609212397927,73,-0.6461120681253805,116,-0.2676471473142842,73,-0.8004943363907331,1,-0.5144056045051877,116,-0.3788781530134995,True,3,True,sse/880863 昨日涨停,sse/880874 昨曾涨停
sse/880863,sse/880885,2156,73,-0.348499973154091,73,-0.6183773933649258,85,-0.03500164165515796,73,-0.7690290235525599,20,-0.05810917636085897,61,0.18016986048728562,True,2,False,sse/880863 昨日涨停,sse/880885 近端次新
sse/880863,sse/880772,1037,1,-0.39914146107871507,109,-0.2075283637994003,1,-0.7271405003642829,80,-0.18483660066331192,1,-0.5830094592944677,14,-0.22067536498561544,True,3,False,sse/880863 昨日涨停,sse/880772 最近闪拉
sse/880863,sse/880784,1643,117,-0.3559778614900854,63,-0.1347280247260929,117,-0.5232210194053384,22,-0.1425928360074452,37,-0.22576828935072737,62,0.20708377647996293,True,2,False,sse/880863 昨日涨停,sse/880784 昨日较弱
sse/880863,sse/880785,1658,116,0.37951667018959045,75,-0.1284013457074771,116,0.5893112632100843,75,-0.18461667900406434,55,0.17975559298531185,116,0.7246273239892573,False,2,False,sse/880863 昨日涨停,sse/880785 最近多板
sse/880863,sse/880751,1153,115,-0.482786622562208,115,-0.5117290240201885,116,-0.37765869910801025,115,-0.8537305185374288,115,-0.7513189500703739,116,-0.4316927199257379,True,3,True,sse/880863 昨日涨停,sse/880751 昨日跌停
sse/880863,sse/880752,1167,115,-0.30610978645732057,118,-0.6471931339980618,115,-0.6313128675388894,90,0.26437776660476,68,-0.15009582734473415,115,-0.6447606279639494,True,2,True,sse/880863 昨日涨停,sse/880752 昨曾跌停
sse/880864,sse/880866,2341,97,-0.3179292934716251,16,-0.026542629921481202,97,-0.6568970878556787,47,0.09937971107175213,104,0.10661466116412265,97,-0.9476254948007893,True,1,False,sse/880864 昨日振荡,sse/880866 近期新低
sse/880864,sse/880812,1972,73,0.3438954677737597,73,0.5846953165131161,36,0.330443729817886,73,0.7002063368957864,118,-0.5970466381466925,117,-0.547914998810068,True,1,False,sse/880864 昨日振荡,sse/880812 昨日连板
sse/880864,sse/880752,1167,115,0.48335195122464003,118,0.9678524989720063,115,0.9606338561005637,90,-0.23797106210799474,99,-0.2642694898201222,115,1.0311305423017167,True,1,False,sse/880864 昨日振荡,sse/880752 昨曾跌停
sse/880866,sse/880874,2241,97,0.33096863158995427,16,0.03586325300967488,97,0.6709066079547592,76,-0.12742670396470124,71,0.18470814790920081,97,0.783063695729799,True,2,False,sse/880866 近期新低,sse/880874 昨曾涨停
sse/880866,sse/880886,2080,97,0.5631932737916319,119,0.12700332452662733,97,0.9523185260355337,119,0.1537236883638544,88,0.27526056810629346,97,0.9526343955227262,True,3,False,sse/880866 近期新低,sse/880886 昨日较强
sse/880866,sse/880774,1675,97,-0.30225714507648527,33,0.028872948940701103,97,-0.5650616418556197,33,0.028253546947750615,76,0.17180028605407893,97,-0.6365329662785602,False,1,False,sse/880866 近期新低,sse/880774 昨日首板
sse/880866,sse/880751,1118,95,0.31827949092480134,86,0.261356375330195,95,0.4606282252336255,86,0.3659330255062553,111,-0.6830506056502416,113,0.3426852145861663,True,2,True,sse/880866 近期新低,sse/880751 昨日跌停
sse/880866,sse/880641,567,68,0.32266666364101493,22,0.20836688820095497,68,0.4346440021069671,81,-0.2724221212905244,79,0.23413864077683935,57,0.7490972500141654,True,2,True,sse/880866 近期新低,sse/880641 历史新低
sse/880867,sse/880812,1972,73,0.31679539478825897,73,0.5748456363388199,89,-0.3322514829741146,73,0.6953853486373438,117,0.434447563749076,89,-0.5372215917915163,False,2,False,sse/880867 昨高换手,sse/880812 昨日连板
sse/880867,sse/880772,1037,116,-0.501064826458953,91,-0.14372303806467276,116,-0.9708540431366133,91,-0.19854177639325032,103,-0.2579868574950733,45,0.23657173140624116,True,2,False,sse/880867 昨高换手,sse/880772 最近闪拉
sse/880867,sse/880774,1722,117,0.33014811701915514,117,0.28133579133599307,117,0.449161583136409,75,0.02816805037903756,117,0.7359666665262133,78,0.0967811884998687,True,3,False,sse/880867 昨高换手,sse/880774 昨日首板
sse/880867,sse/880641,567,68,0.3087643483151856,69,-0.2712098619909627,68,0.4323208781726384,69,-0.37956363367371104,90,-0.29322302587299076,57,0.5210198931819525,False,1,False,sse/880867 昨高换手,sse/880641 历史新低
sse/880872,sse/880812,1972,73,0.4266799110076142,73,0.5833116019234754,100,-0.19551771306695248,73,0.7018320503379547,63,0.15538944971810173,100,-0.2783151000993787,False,2,False,sse/880872 近期复牌,sse/880812 昨日连板
sse/880874,sse/880812,1972,73,0.31135426987457165,73,0.5386410254561284,117,-0.3722019999214695,73,0.7020419452030888,114,0.4808432342618205,117,-0.5555277329476122,False,2,False,sse/880874 昨曾涨停,sse/880812 昨日连板
sse/880874,sse/880751,1153,116,-0.3349583503182173,114,0.4936051210865565,115,0.45071872250882666,114,0.8442559819687067,64,0.15082085759184355,116,-0.6354822806074957,False,1,False,sse/880874 昨曾涨停,sse/880751 昨日跌停
sse/880874,sse/880752,1167,115,0.4985796132924292,55,0.05473214073910088,115,0.9709072197176173,39,-0.1862882287182852,55,0.16765342626767316,115,0.9980535945973039,True,2,False,sse/880874 昨曾涨停,sse/880752 昨曾跌停
sse/880874,sse/880620,1039,60,-0.3246386261918033,30,-0.14732221647690102,60,-0.4880569890768051,99,0.2337355761379403,60,-0.40859021892934555,14,0.3307224775531603,True,1,False,sse/880874 昨曾涨停,sse/880620 券商金股
sse/880884,sse/880785,1658,116,-0.49256907139454925,76,-0.13399457301005785,116,-0.6554952593590406,76,-0.16132243820794384,72,-0.18817586570377898,116,-0.9199693521490898,True,3,False,sse/880884 最近异动,sse/880785 最近多板
sse/880885,sse/880812,1972,73,0.3267872874472254,73,0.5473249174975261,118,-0.35024401457932447,73,0.6669656969713659,118,-0.5872317752574693,57,0.16947798144453105,False,2,False,sse/880885 近端次新,sse/880812 昨日连板
sse/880885,sse/880752,1167,118,0.6515820479144887,118,0.9681328814989684,57,-0.26753142479194525,90,-0.2655333790098544,92,0.21157534684317109,57,-0.4148443522765106,False,1,False,sse/880885 近端次新,sse/880752 昨曾跌停
sse/880886,sse/880772,1037,116,-0.9506985955052931,93,-0.14476416279094592,116,-0.9635266820111469,64,0.17549773331280472,112,0.28335130499358396,45,0.26083000735848155,True,0,False,sse/880886 昨日较强,sse/880772 最近闪拉
sse/880886,sse/880752,1167,115,0.5121712032504584,33,-0.050273394514061584,115,0.9670452280205911,33,-0.18981081027106567,87,0.21057203909132177,115,1.0858147005981191,False,2,False,sse/880886 昨日较强,sse/880752 昨曾跌停
sse/880886,sse/880620,1039,60,-0.32545787565339895,120,0.18342879519667152,60,-0.49013264093471953,120,0.2701743200634561,60,-0.4858561127482034,50,-0.2342608878841399,False,2,False,sse/880886 昨日较强,sse/880620 券商金股
sse/880812,sse/880772,1037,114,-0.41581024029803876,33,0.18681881599787242,1,-0.4821152891364189,99,-0.21786709218591965,114,-1.014244761970624,105,-0.2370793076985645,False,3,False,sse/880812 昨日连板,sse/880772 最近闪拉
sse/880812,sse/880773,964,68,-0.4110410425346624,68,-0.7012493640760988,112,-0.4179605317253564,90,0.2219280891821993,111,-0.1680516720052885,79,-0.16255242394488167,True,2,True,sse/880812 昨日连板,sse/880773 最近闪跌
sse/880812,sse/880784,1643,86,0.3327768073692608,62,0.15592204077414376,86,0.5020756814749776,62,0.15978757949079606,90,-0.14273015193459893,86,0.5413393711887664,True,2,False,sse/880812 昨日连板,sse/880784 昨日较弱
sse/880772,sse/880773,964,111,0.639408296551889,64,-0.21241903896681535,111,0.9571584308495072,17,0.20073641894265065,49,0.167939485962216,93,-0.23170255774812448,False,2,False,sse/880772 最近闪拉,sse/880773 最近闪跌
sse/880772,sse/880774,1037,1,0.4624935696057042,64,0.18421451324981833,1,0.7286625774517665,87,0.19339612697682163,1,0.5242200508022495,14,0.21980894773967136,True,3,False,sse/880772 最近闪拉,sse/880774 昨日首板
sse/880773,sse/880774,964,112,0.31815826498046734,115,0.2824654305175869,112,0.7143006454449153,47,-0.21974975869301822,96,0.18568612522281694,79,0.19027447413302576,True,2,True,sse/880773 最近闪跌,sse/880774 昨日首板
sse/880774,sse/880784,1643,117,-0.3214052536459168,63,-0.12571755276684415,117,-0.4981435640495813,22,-0.15002192145521176,37,-0.22329307708535265,62,0.2047650486022787,True,2,False,sse/880774 昨日首板,sse/880784 昨日较弱
sse/880774,sse/880785,1658,116,0.36659696564583255,75,-0.13498376347876362,116,0.5977634433452987,75,-0.1845611451935502,55,0.1763324948654899,116,0.7226923315622132,False,2,False,sse/880774 昨日首板,sse/880785 最近多板
sse/880774,sse/880751,1153,115,-0.47997715895927356,115,-0.5100923237831358,116,-0.3748707383507831,115,-0.8534793406468891,115,-0.7503431111210707,116,-0.42821109121846035,True,3,True,sse/880774 昨日首板,sse/880751 昨日跌停
sse/880774,sse/880752,1167,115,-0.3122275562387839,118,-0.6501494984885093,115,-0.6346240120287147,90,0.26346511423830493,68,-0.14548022588719162,115,-0.6478357228146913,True,2,False,sse/880774 昨日首板,sse/880752 昨曾跌停
